[ 2026-07-11 17:38:06,596 ] 14 root - INFO - Initiate data ingestion
[ 2026-07-11 17:38:32,457 ] 71 root - INFO - Performed train test split on the data frame
[ 2026-07-11 17:38:32,458 ] 73 root - INFO - Exited split_data_as_train_test_method of dat ingestion class
[ 2026-07-11 17:38:32,458 ] 79 root - INFO - exporting train and test file path
[ 2026-07-11 17:38:32,799 ] 86 root - INFO - Exported train and test file path
[ 2026-07-11 17:38:32,800 ] 18 root - INFO - data Initiation completed
[ 2026-07-11 17:38:32,802 ] 23 root - INFO - initiated te edata validation
[ 2026-07-11 17:38:32,886 ] 42 root - INFO - required no of columns31
[ 2026-07-11 17:38:32,886 ] 43 root - INFO - data frame has columns:31
[ 2026-07-11 17:38:32,886 ] 42 root - INFO - required no of columns31
[ 2026-07-11 17:38:32,886 ] 43 root - INFO - data frame has columns:31
[ 2026-07-11 17:38:33,383 ] 25 root - INFO - data validation completed
[ 2026-07-11 17:38:33,383 ] 55 root - INFO - enetered initiate data tarsnformation of data transformation class
[ 2026-07-11 17:38:33,383 ] 60 root - INFO - Starting Data Transformation
[ 2026-07-11 17:38:33,464 ] 41 root - INFO - enetered get data trandformer object method
[ 2026-07-11 17:38:33,464 ] 47 root - INFO - Initialise knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-11 17:38:33,508 ] 48 root - INFO - Entered the save_object method of mainutilsclass
[ 2026-07-11 17:38:33,519 ] 52 root - INFO - Exited the save objecy methods of main utils class
[ 2026-07-11 17:39:12,455 ] 48 root - INFO - Entered the save_object method of mainutilsclass
[ 2026-07-11 17:39:12,470 ] 52 root - INFO - Exited the save objecy methods of main utils class
[ 2026-07-11 17:39:12,470 ] 139 root - INFO - Model Triner Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/07_11_2026_17_38_05/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtiFact(f1_score=0.9909648927334238, precision_score=0.9883220527325992, recall_score=0.9936219048973208), test_metric_artifact=ClassificationMetricArtiFact(f1_score=0.9899814171447039, precision_score=0.9869512686266613, recall_score=0.9930302293540806))
